id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code
3430,KBTV,medium_airport,Patrick Leahy Burlington International Airport,44.471901,-73.153297,335,NA,US,US-VT,Burlington,yes,KBTV,BTV,KBTV,BTV
3431,KBUF,large_airport,Buffalo Niagara International Airport,42.940498,-78.732201,728,NA,US,US-NY,Buffalo,yes,KBUF,BUF,KBUF,BUF
3432,KBUR,large_airport,Hollywood Burbank/Bob Hope Airport,34.202834,-118.35805,778,NA,US,US-CA,Burbank,yes,KBUR,BUR,KBUR,BUR
19417,KBVI,medium_airport,Beaver County Airport,40.772499,-80.391403,1253,NA,US,US-PA,Beaver Falls,no,KBVI,BFP,KBVI,BVI
3433,KBVY,medium_airport,Beverly Regional Airport,42.584202,-70.916496,107,NA,US,US-MA,Beverly / Danvers,no,KBVY,BVY,KBVY,BVY
3434,KBWG,medium_airport,Bowling Green Warren County Regional Airport,36.96450043,-86.41970062,547,NA,US,US-KY,Bowling Green,no,KBWG,BWG,KBWG,BWG
3435,KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146,NA,US,US-MD,Baltimore,yes,KBWI,BWI,KBWI,BWI
3729,KBXM,medium_airport,Brunswick Executive Airport,43.89220047,-69.93859863,72,NA,US,US-ME,Brunswick,no,KBXM,NHZ,KBXM,BXM
3436,KBYH,medium_airport,Arkansas International Airport,35.96429825,-89.94400024,254,NA,US,US-AR,Blytheville,no,KBYH,BYH,KBYH,BYH
19429,KBYI,medium_airport,Burley Municipal Airport,42.54259872,-113.7720032,4150,NA,US,US-ID,Burley,no,KBYI,BYI,KBYI,BYI
19430,KBYS,medium_airport,Bicycle Lake Army Air Field,35.2804985,-116.6299973,2350,NA,US,US-CA,Fort Irwin/Barstow,no,KBYS,BYS,KBYS,BYS
3437,KBZN,medium_airport,Bozeman Yellowstone International Airport,45.778853,-111.153711,4473,NA,US,US-MT,Bozeman,yes,KBZN,BZN,KBZN,BZN
3438,KCAE,medium_airport,Columbia Metropolitan Airport,33.938172,-81.123022,236,NA,US,US-SC,Columbia,yes,KCAE,CAE,KCAE,CAE
3439,KCAK,medium_airport,Akron Canton Regional Airport,40.91609955,-81.44219971,1228,NA,US,US-OH,Akron,yes,KCAK,CAK,KCAK,CAK
3440,KCAR,medium_airport,Caribou Municipal Airport,46.871498,-68.017899,626,NA,US,US-ME,Caribou,no,KCAR,CAR,KCAR,CAR
3441,KCBM,medium_airport,Columbus Air Force Base,33.643799,-88.443802,219,NA,US,US-MS,Columbus,no,KCBM,CBM,KCBM,CBM
19469,KCCR,medium_airport,Buchanan Field,37.9897,-122.056999,26,NA,US,US-CA,Concord,yes,KCCR,CCR,KCCR,CCR
19470,KCCY,medium_airport,Northeast Iowa Regional Airport,43.07260132,-92.6108017,1125,NA,US,US-IA,Charles City,no,KCCY,CCY,KCCY,CCY
3442,KCDC,medium_airport,Cedar City Regional Airport,37.70100021,-113.098999,5622,NA,US,US-UT,Cedar City,yes,KCDC,CDC,KCDC,CDC
19474,KCDR,medium_airport,Chadron Municipal Airport,42.837601,-103.095001,3297,NA,US,US-NE,Chadron,yes,KCDR,CDR,KCDR,CDR
19475,KCDS,medium_airport,Childress Municipal Airport,34.43379974,-100.288002,1954,NA,US,US-TX,Childress,no,KCDS,CDS,KCDS,CDS
3443,KCEC,medium_airport,Jack Mc Namara Field Airport,41.778929,-124.236403,61,NA,US,US-CA,Crescent City,yes,KCEC,CEC,KCEC,CEC
3444,KCEF,medium_airport,Westover Metropolitan Airport / Westover Air Reserve Base,42.194,-72.534798,241,NA,US,US-MA,Chicopee,no,,CEF,KCEF,CEF
3445,KCEW,medium_airport,Bob Sikes Airport,30.77879906,-86.52210236,213,NA,US,US-FL,Crestview,no,KCEW,CEW,KCEW,CEW
19482,KCEZ,medium_airport,Cortez Municipal Airport,37.303001,-108.627998,5918,NA,US,US-CO,Cortez,yes,KCEZ,CEZ,KCEZ,CEZ
3446,KCGF,medium_airport,Cuyahoga County Airport,41.56510162,-81.48639679,879,NA,US,US-OH,Cleveland,no,KCGF,CGF,KCGF,CGF
3447,KCGI,medium_airport,Cape Girardeau Regional Airport,37.2253,-89.570801,342,NA,US,US-MO,Cape Girardeau,yes,KCGI,CGI,KCGI,CGI
3448,KCHA,medium_airport,Chattanooga Metropolitan Airport (Lovell Field),35.035301,-85.203796,683,NA,US,US-TN,Chattanooga,yes,KCHA,CHA,KCHA,CHA
3449,KCHO,medium_airport,Charlottesville Albemarle Airport,38.1385994,-78.45290375,639,NA,US,US-VA,Charlottesville,yes,KCHO,CHO,KCHO,CHO
3450,KCHS,large_airport,Charleston International Airport,32.896159,-80.038151,46,NA,US,US-SC,Charleston,yes,KCHS,CHS,KCHS,CHS
3451,KCID,medium_airport,The Eastern Iowa Airport,41.884701,-91.7108,869,NA,US,US-IA,Cedar Rapids,yes,KCID,CID,KCID,CID
3452,KCIU,medium_airport,Chippewa County International Airport,46.242038,-84.462082,800,NA,US,US-MI,Kincheloe,yes,KCIU,CIU,KCIU,CIU
3453,KCKB,medium_airport,North Central West Virginia Airport,39.2966,-80.228104,1217,NA,US,US-WV,Bridgeport,yes,KCKB,CKB,KCKB,CKB
3454,KCLE,large_airport,Cleveland Hopkins International Airport,41.411701,-81.8498,791,NA,US,US-OH,Cleveland,yes,KCLE,CLE,KCLE,CLE
3455,KCLL,medium_airport,Easterwood Field,30.5886,-96.3638,320,NA,US,US-TX,College Station,yes,KCLL,CLL,KCLL,CLL
3456,KCLM,medium_airport,William R Fairchild International Airport,48.120201,-123.5,291,NA,US,US-WA,Port Angeles,no,KCLM,CLM,KCLM,CLM
3457,KCLT,large_airport,Charlotte Douglas International Airport,35.2140007,-80.94309998,748,NA,US,US-NC,Charlotte,yes,KCLT,CLT,KCLT,CLT
3458,KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,815,NA,US,US-OH,Columbus,yes,KCMH,CMH,KCMH,CMH
3459,KCMI,medium_airport,University of Illinois Willard Airport,40.039819,-88.276249,755,NA,US,US-IL,Savoy,yes,KCMI,CMI,KCMI,CMI
3460,KCMX,medium_airport,Houghton County Memorial Airport,47.16839981,-88.4890976,1095,NA,US,US-MI,Hancock,yes,KCMX,CMX,KCMX,CMX
3461,KCNM,medium_airport,Cavern City Air Terminal,32.33750153,-104.2630005,3295,NA,US,US-NM,Carlsbad,yes,KCNM,CNM,KCNM,CNM
19527,KCNU,medium_airport,Chanute Martin Johnson Airport,37.668173,-95.486727,1002,NA,US,US-KS,Chanute,no,KCNU,CNU,KCNU,CNU
19529,KCNY,medium_airport,Canyonlands Regional Airport,38.755001,-109.754997,4557,NA,US,US-UT,Moab,yes,KCNY,CNY,KCNY,CNY
19530,KCOD,medium_airport,Yellowstone Regional Airport,44.520199,-109.024002,5102,NA,US,US-WY,Cody,yes,KCOD,COD,KCOD,COD
19531,KCOE,medium_airport,Coeur D'Alene Airport - Pappy Boyington Field,47.7743,-116.82,2320,NA,US,US-ID,Coeur d'Alene,no,KCOE,COE,KCOE,COE
3462,KCOF,medium_airport,Patrick Space Force Base,28.2349,-80.6101,8,NA,US,US-FL,Cocoa Beach,no,KCOF,COF,KCOF,COF
19534,KCON,medium_airport,Concord Municipal Airport,43.20270157,-71.50229645,342,NA,US,US-NH,Concord,no,KCON,CON,KCON,CON
3463,KCOS,large_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,6187,NA,US,US-CO,Colorado Springs,yes,KCOS,COS,KCOS,COS
3464,KCOU,medium_airport,Columbia Regional Airport,38.8181,-92.219597,889,NA,US,US-MO,Columbia,yes,KCOU,COU,KCOU,COU
3465,KCPR,medium_airport,Casper-Natrona County International Airport,42.907381,-106.461609,5350,NA,US,US-WY,Casper,yes,KCPR,CPR,KCPR,CPR
19549,KCRE,medium_airport,Grand Strand Airport,33.81169891,-78.72389984,32,NA,US,US-SC,North Myrtle Beach,no,KCRE,CRE,KCRE,CRE
19550,KCRG,medium_airport,Jacksonville Executive at Craig Airport,30.3362999,-81.51439667,41,NA,US,US-FL,Jacksonville,no,KCRG,CRG,KCRG,CRG
3466,KCRP,medium_airport,Corpus Christi International Airport,27.770399,-97.501198,44,NA,US,US-TX,Corpus Christi,yes,KCRP,CRP,KCRP,CRP
19552,KCRQ,medium_airport,McClellan-Palomar Airport,33.1283,-117.279999,331,NA,US,US-CA,Carlsbad,yes,KCRQ,CLD,KCRQ,CRQ
3467,KCRW,medium_airport,Yeager Airport,38.3731,-81.593201,981,NA,US,US-WV,Charleston,yes,KCRW,CRW,KCRW,CRW
3468,KCSG,medium_airport,Columbus Airport,32.516415,-84.939602,397,NA,US,US-GA,Columbus,yes,KCSG,CSG,KCSG,CSG
3469,KCSV,medium_airport,Crossville Memorial Airport Whitson Field,35.95131,-85.08499,1881,NA,US,US-TN,Crossville,no,KCSV,CSV,KCSV,CSV
3470,KCTB,medium_airport,Cut Bank International Airport,48.608657,-112.378183,3854,NA,US,US-MT,Cut Bank,no,KCTB,CTB,KCTB,CTB
19564,KCUB,medium_airport,Jim Hamilton L.B. Owens Airport,33.97050095,-80.99520111,193,NA,US,US-SC,Columbia,no,KCUB,CUB,KCUB,CUB
3471,KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,896,NA,US,US-KY,Cincinnati / Covington,yes,KCVG,CVG,KCVG,CVG
19569,KCVN,medium_airport,Clovis Municipal Airport,34.426594,-103.078794,4216,NA,US,US-NM,Clovis,yes,KCVN,CVN,KCVN,CVN
3472,KCVO,medium_airport,Corvallis Municipal Airport,44.49720001,-123.2900009,250,NA,US,US-OR,Corvallis,no,KCVO,CVO,KCVO,CVO
3473,KCVS,medium_airport,Cannon Air Force Base,34.382801,-103.321999,4295,NA,US,US-NM,Clovis,no,KCVS,CVS,KCVS,CVS
19571,KCWA,medium_airport,Central Wisconsin Airport,44.777448,-89.670238,1277,NA,US,US-WI,Mosinee,yes,KCWA,CWA,KCWA,CWA
3475,KCXO,medium_airport,Conroe-North Houston Regional Airport,30.351801,-95.414497,245,NA,US,US-TX,Houston,no,KCXO,CXO,KCXO,CXO
19577,KCXP,medium_airport,Carson Airport,39.194331,-119.734312,4697,NA,US,US-NV,Carson City,no,KCXP,CSN,KCXP,CXP
3476,KCYS,medium_airport,Cheyenne Regional Jerry Olson Field,41.155701,-104.811997,6159,NA,US,US-WY,Cheyenne,yes,KCYS,CYS,KCYS,CYS
3477,KDAA,medium_airport,Davison Army Air Field,38.71500015,-77.18099976,73,NA,US,US-VA,Fort Belvoir,no,KDAA,DAA,KDAA,DAA
3478,KDAB,medium_airport,Daytona Beach International Airport,29.18255,-81.059464,34,NA,US,US-FL,Daytona Beach,yes,KDAB,DAB,KDAB,DAB
19615,KDAG,medium_airport,Barstow Daggett Airport,34.85369873,-116.7870026,1930,NA,US,US-CA,Daggett,no,KDAG,DAG,KDAG,DAG
3479,KDAL,large_airport,Dallas Love Field,32.844776,-96.847653,487,NA,US,US-TX,Dallas,yes,KDAL,DAL,KDAL,DAL
3480,KDAN,medium_airport,Danville Regional Airport,36.572899,-79.336098,571,NA,US,US-VA,Danville,no,KDAN,DAN,KDAN,DAN
3481,KDAY,medium_airport,James M. Cox Dayton International Airport,39.902401,-84.219398,1009,NA,US,US-OH,Dayton,yes,KDAY,DAY,KDAY,DAY
3482,KDBQ,medium_airport,Dubuque Regional Airport,42.402,-90.709503,1077,NA,US,US-IA,Dubuque,yes,KDBQ,DBQ,KDBQ,DBQ
3483,KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,15,NA,US,US-DC,Washington,yes,KDCA,DCA,KDCA,DCA
3484,KDDC,medium_airport,Dodge City Regional Airport,37.76340103,-99.96559906,2594,NA,US,US-KS,Dodge City,yes,KDDC,DDC,KDDC,DDC
3485,KDEC,medium_airport,Decatur Airport,39.83459854,-88.86569977,682,NA,US,US-IL,Decatur,yes,KDEC,DEC,KDEC,DEC
3486,KDEN,large_airport,Denver International Airport,39.860027,-104.673792,5431,NA,US,US-CO,Denver,yes,KDEN,DEN,KDEN,DEN
3487,KDET,medium_airport,Coleman A. Young Municipal Airport,42.40919876,-83.00990295,626,NA,US,US-MI,Detroit,no,,DET,KDET,DET
3488,KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,607,NA,US,US-TX,Dallas-Fort Worth,yes,KDFW,DFW,KDFW,DFW
3489,KDHN,medium_airport,Dothan Regional Airport,31.32130051,-85.44960022,401,NA,US,US-AL,Dothan,yes,KDHN,DHN,KDHN,DHN
19628,KDHT,medium_airport,Dalhart Municipal Airport,36.02259827,-102.5469971,3991,NA,US,US-TX,Dalhart,no,KDHT,DHT,KDHT,DHT
19630,KDIK,medium_airport,Dickinson Theodore Roosevelt Regional Airport,46.797533,-102.801905,2592,NA,US,US-ND,Dickinson,yes,KDIK,DIK,KDIK,DIK
3490,KDLF,medium_airport,Laughlin Air Force Base,29.359501,-100.778002,1082,NA,US,US-TX,Del Rio,no,KDLF,DLF,KDLF,DLF
3491,KDLH,medium_airport,Duluth International Airport,46.841873,-92.198746,1428,NA,US,US-MN,Duluth,yes,KDLH,DLH,KDLH,DLH
19640,KDLS,medium_airport,Columbia Gorge Regional Airport,45.620979,-121.170777,247,NA,US,US-OR,Dallesport / The Dalles,no,KDLS,DLS,KDLS,DLS
3492,KDMA,medium_airport,Davis Monthan Air Force Base,32.16650009,-110.8830032,2704,NA,US,US-AZ,Tucson,no,KDMA,DMA,KDMA,DMA
3493,KDMN,medium_airport,Deming Municipal Airport,32.26229858,-107.7210007,4314,NA,US,US-NM,Deming,no,KDMN,DMN,KDMN,DMN
19644,KDNL,medium_airport,Daniel Field,33.46649933,-82.03939819,423,NA,US,US-GA,Augusta,no,KDNL,DNL,KDNL,DNL
3494,KDOV,medium_airport,Dover Civil Air Terminal/Dover Air Force Base,39.129501,-75.466003,24,NA,US,US-DE,Dover,yes,KDOV,DOV,KDOV,DOV
19648,KDPA,medium_airport,Dupage Airport,41.90779877,-88.24859619,759,NA,US,US-IL,Chicago/West Chicago,no,KDPA,DPA,KDPA,DPA
19652,KDRA,medium_airport,Desert Rock Airport,36.6194,-116.032997,3314,NA,US,US-NV,Mercury,no,KDRA,DRA,KDRA,NV65
3495,KDRI,medium_airport,Beauregard Regional Airport,30.831699,-93.339897,202,NA,US,US-LA,DeRidder,no,KDRI,DRI,KDRI,DRI
19654,KDRO,medium_airport,Durango La Plata County Airport,37.151501,-107.753998,6685,NA,US,US-CO,Durango,yes,KDRO,DRO,KDRO,DRO
19655,KDRT,medium_airport,Del Rio International Airport,29.37420082,-100.927002,1002,NA,US,US-TX,Del Rio,no,KDRT,DRT,KDRT,DRT
3496,KDSM,large_airport,Des Moines International Airport,41.534027,-93.656719,958,NA,US,US-IA,Des Moines,yes,KDSM,DSM,KDSM,DSM
19661,KDTS,medium_airport,Destin Executive Airport,30.400101,-86.471497,23,NA,US,US-FL,Destin,yes,KDTS,DSI,KDTS,DTS
3497,KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,645,NA,US,US-MI,Detroit,yes,KDTW,DTW,KDTW,DTW
19662,KDUA,medium_airport,Durant Regional Airport - Eaker Field,33.939675,-96.395072,699,NA,US,US-OK,Durant,no,KDUA,DUA,KDUA,DUA
19664,KDUG,medium_airport,Bisbee Douglas International Airport,31.464139,-109.60456,4154,NA,US,US-AZ,Douglas Bisbee,no,KDUG,DUG,KDUG,DUG
3498,KDUJ,medium_airport,DuBois Regional Airport,41.17829895,-78.8986969,1817,NA,US,US-PA,Dubois,yes,KDUJ,DUJ,KDUJ,DUJ
19668,KDVL,medium_airport,Devils Lake Regional Airport,48.115454,-98.908796,1456,NA,US,US-ND,Devils Lake,yes,KDVL,DVL,KDVL,DVL
19676,KDXR,medium_airport,Danbury Municipal Airport,41.371656,-73.482227,458,NA,US,US-CT,Danbury,no,KDXR,DXR,KDXR,DXR
3499,KDYS,medium_airport,Dyess Air Force Base,32.420799,-99.854599,1789,NA,US,US-TX,Abilene,no,KDYS,DYS,KDYS,DYS
19716,KEAR,medium_airport,Kearney Regional Airport,40.727001,-99.006798,2131,NA,US,US-NE,Kearney,yes,KEAR,EAR,KEAR,EAR
19717,KEAT,medium_airport,Pangborn Memorial Airport,47.398899,-120.207001,1249,NA,US,US-WA,Wenatchee,yes,KEAT,EAT,KEAT,EAT
3501,KEAU,medium_airport,Chippewa Valley Regional Airport,44.86579895,-91.48429871,913,NA,US,US-WI,Eau Claire,yes,KEAU,EAU,KEAU,EAU
3502,KECG,medium_airport,Elizabeth City Regional Airport & Coast Guard Air Station,36.260601,-76.174599,11,NA,US,US-NC,Elizabeth City,no,KECG,ECG,KECG,ECG
46530,KECP,medium_airport,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,NA,US,US-FL,Panama City Beach,yes,KECP,ECP,KECP,ECP
3503,KEDW,medium_airport,Edwards Air Force Base,34.910781,-117.886391,2312,NA,US,US-CA,Edwards,no,KEDW,EDW,KEDW,EDW
19727,KEED,medium_airport,Needles Airport,34.7663002,-114.6230011,983,NA,US,US-CA,Needles,no,KEED,EED,KEED,EED
3504,KEEN,medium_airport,Dillant Hopkins Airport,42.898399,-72.270798,488,NA,US,US-NH,Keene,no,KEEN,EEN,KEEN,EEN
19731,KEFD,medium_airport,Ellington Airport,29.6072998,-95.15879822,32,NA,US,US-TX,Houston,no,KEFD,EFD,KEFD,EFD
3505,KEGE,medium_airport,Eagle County Regional Airport,39.64260101,-106.9179993,6548,NA,US,US-CO,Eagle,yes,KEGE,EGE,KEGE,EGE
19735,KEGI,medium_airport,Duke Field,30.65040016,-86.52290344,191,NA,US,US-FL,Crestview,no,KEGI,EGI,KEGI,EGI
3506,KEKA,medium_airport,Murray Field,40.803398,-124.112999,7,NA,US,US-CA,Eureka,no,KEKA,EKA,KEKA,EKA
3507,KEKN,medium_airport,Elkins-Randolph County Regional Airport,38.889759,-79.857651,1987,NA,US,US-WV,Elkins,no,KEKN,EKN,KEKN,EKN
3508,KEKO,medium_airport,Elko Regional Airport,40.82490158,-115.7919998,5140,NA,US,US-NV,Elko,yes,KEKO,EKO,KEKO,EKO
3509,KELD,medium_airport,South Arkansas Regional Airport at Goodwin Field,33.221001,-92.813301,277,NA,US,US-AR,El Dorado,yes,KELD,ELD,KELD,ELD
3510,KELM,medium_airport,Elmira Corning Regional Airport,42.15990067,-76.89160156,954,NA,US,US-NY,Elmira/Corning,yes,KELM,ELM,KELM,ELM
3511,KELO,medium_airport,Ely Municipal Airport,47.82450104,-91.83070374,1456,NA,US,US-MN,Ely,no,KELO,LYU,KELO,ELO
3512,KELP,large_airport,El Paso International Airport,31.809908,-106.375607,3959,NA,US,US-TX,El Paso,yes,KELP,ELP,KELP,ELP
19753,KELY,medium_airport,Ely Airport Yelland Field,39.29970169,-114.8420029,6259,NA,US,US-NV,Ely,no,KELY,ELY,KELY,ELY
3513,KEND,medium_airport,Vance Air Force Base,36.339199,-97.916496,1307,NA,US,US-OK,Enid,no,KEND,END,KEND,END
19760,KENV,medium_airport,Wendover Airport,40.71870041,-114.0309982,4237,NA,US,US-UT,Wendover,no,KENV,ENV,KENV,ENV
3514,KENW,medium_airport,Kenosha Regional Airport,42.59569931,-87.92780304,742,NA,US,US-WI,Kenosha,no,KENW,ENW,KENW,ENW
3515,KERI,medium_airport,Erie International Tom Ridge Field,42.083127,-80.173867,732,NA,US,US-PA,Erie,yes,KERI,ERI,KERI,ERI
19770,KESC,medium_airport,Delta County Airport,45.723199,-87.088623,609,NA,US,US-MI,Escanaba,yes,KESC,ESC,KESC,ESC
3516,KESF,medium_airport,Esler Army Airfield / Esler Regional Airport,31.394266,-92.294082,112,NA,US,US-LA,Alexandria,no,KESF,ESF,KESF,ESF
3517,KEUG,medium_airport,Eugene Airport,44.124599,-123.211998,374,NA,US,US-OR,Eugene,yes,KEUG,EUG,KEUG,EUG
3518,KEVV,medium_airport,Evansville Regional Airport,38.03699875,-87.53240204,418,NA,US,US-IN,Evansville,yes,KEVV,EVV,KEVV,EVV
19782,KEVW,medium_airport,Evanston-Uinta County Airport-Burns Field,41.27479935,-111.0350037,7143,NA,US,US-WY,Evanston,no,KEVW,EVW,KEVW,EVW
3519,KEWB,medium_airport,New Bedford Regional Airport,41.67610168,-70.95690155,80,NA,US,US-MA,New Bedford,yes,KEWB,EWB,KEWB,EWB
3520,KEWN,medium_airport,Coastal Carolina Regional Airport,35.07300186,-77.04290009,18,NA,US,US-NC,New Bern,yes,KEWN,EWN,KEWN,EWN
3521,KEWR,large_airport,Newark Liberty International Airport,40.6894,-74.170545,18,NA,US,US-NJ,Newark,yes,KEWR,EWR,KEWR,EWR
3522,KEYW,medium_airport,Key West International Airport,24.556119,-81.759579,3,NA,US,US-FL,Key West,yes,KEYW,EYW,KEYW,EYW
19843,KFAF,medium_airport,Felker Army Air Field,37.1325,-76.608803,12,NA,US,US-VA,Newport News (Fort Eustis),no,KFAF,FAF,KFAF,FAF
3523,KFAR,medium_airport,Hector International Airport,46.9207,-96.815804,902,NA,US,US-ND,Fargo,yes,KFAR,FAR,KFAR,FAR
3524,KFAT,large_airport,Fresno Yosemite International Airport,36.775767,-119.718018,336,NA,US,US-CA,Fresno,yes,KFAT,FAT,KFAT,FAT
3525,KFAY,medium_airport,Fayetteville Regional Airport - Grannis Field,34.991199,-78.880302,189,NA,US,US-NC,Fayetteville,yes,KFAY,FAY,KFAY,FAY
3526,KFBG,medium_airport,Simmons Army Air Field,35.13180161,-78.93669891,244,NA,US,US-NC,Fort Bragg,no,KFBG,FBG,KFBG,FBG
19851,KFCS,medium_airport,Butts AAF (Fort Carson) Air Field,38.67839813,-104.7570038,5838,NA,US,US-CO,Fort Carson,no,KFCS,FCS,KFCS,FCS
19857,KFDY,medium_airport,Findlay Airport,41.01350021,-83.66870117,813,NA,US,US-OH,Findlay,no,KFDY,FDY,KFDY,FDY
3528,KFFO,medium_airport,Wright-Patterson Air Force Base,39.826099,-84.048302,823,NA,US,US-OH,Dayton,no,KFFO,FFO,KFFO,FFO
19868,KFHR,medium_airport,Friday Harbor Airport,48.523654,-123.024645,113,NA,US,US-WA,Friday Harbor,yes,KFHR,FRD,KFHR,FHR
3529,KFHU,medium_airport,Sierra Vista Municipal Airport / Libby Army Air Field,31.587383,-110.348225,4719,NA,US,US-AZ,Fort Huachuca / Sierra Vista,no,KFHU,FHU,KFHU,FHU
19872,KFKL,medium_airport,Venango Regional Airport,41.37789917,-79.86039734,1540,NA,US,US-PA,Franklin,no,KFKL,FKL,KFKL,FKL
3530,KFLG,medium_airport,Flagstaff Pulliam Airport,35.139757,-111.669826,7014,NA,US,US-AZ,Flagstaff,yes,KFLG,FLG,KFLG,FLG
3531,KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9,NA,US,US-FL,Fort Lauderdale,yes,KFLL,FLL,KFLL,FLL
3532,KFLO,medium_airport,Florence Regional Airport,34.1853981,-79.72389984,146,NA,US,US-SC,Florence,yes,KFLO,FLO,KFLO,FLO
3534,KFME,medium_airport,Fort Meade Executive Airport,39.0854,-76.759399,150,NA,US,US-MD,Fort Meade(Odenton),no,KFME,FME,KFME,FME
19881,KFMN,medium_airport,Four Corners Regional Airport,36.741199,-108.230003,5506,NA,US,US-NM,Farmington,no,KFMN,FMN,KFMN,FMN
19882,KFMY,medium_airport,Page Field,26.58659935,-81.86329651,17,NA,US,US-FL,Fort Myers,no,KFMY,FMY,KFMY,FMY
19885,KFNL,medium_airport,Northern Colorado Regional Airport,40.44969,-105.011272,5016,NA,US,US-CO,Loveland,no,KFNL,FNL,KFNL,FNL
3535,KFNT,medium_airport,Bishop International Airport,42.969294,-83.743355,782,NA,US,US-MI,Flint,yes,KFNT,FNT,KFNT,FNT
3536,KFOD,medium_airport,Fort Dodge Regional Airport,42.552624,-94.191237,1156,NA,US,US-IA,Fort Dodge,yes,KFOD,FOD,KFOD,FOD
3537,KFOE,medium_airport,Topeka Regional Airport,38.950901,-95.663597,1078,NA,US,US-KS,Topeka,no,KFOE,FOE,KFOE,FOE
3538,KFPR,medium_airport,Treasure Coast International Airport,27.4951,-80.368301,24,NA,US,US-FL,Fort Pierce,no,KFPR,FPR,KFPR,FPR
3539,KFRG,medium_airport,Republic Airport,40.728576,-73.414267,82,NA,US,US-NY,East Farmingdale,no,KFRG,FRG,KFRG,FRG
3540,KFRI,medium_airport,Marshall Army Air Field,39.053021,-96.764202,1065,NA,US,US-KS,Fort Riley (Junction City),no,KFRI,FRI,KFRI,FRI
3541,KFSD,medium_airport,Sioux Falls Regional Airport,43.585463,-96.741152,1429,NA,US,US-SD,Sioux Falls,yes,KFSD,FSD,KFSD,FSD
3542,KFSI,medium_airport,Henry Post Army Air Field,34.649799,-98.402199,1189,NA,US,US-OK,Fort Sill,no,KFSI,FSI,KFSI,FSI
3543,KFSM,medium_airport,Fort Smith Regional Airport,35.336601,-94.367401,469,NA,US,US-AR,Fort Smith,yes,KFSM,FSM,KFSM,FSM
19900,KFST,medium_airport,Fort Stockton Pecos County Airport,30.91570091,-102.9160004,3011,NA,US,US-TX,Fort Stockton,no,KFST,FST,KFST,FST
3544,KFTK,medium_airport,Godman Army Air Field,37.90710068,-85.9720993,756,NA,US,US-KY,Fort Knox,no,KFTK,FTK,KFTK,FTK
3545,KFTW,medium_airport,Fort Worth Meacham International Airport,32.819919,-97.360818,710,NA,US,US-TX,Fort Worth,yes,KFTW,FTW,KFTW,FTW
3546,KFTY,medium_airport,Fulton County Airport Brown Field,33.77909851,-84.52140045,841,NA,US,US-GA,Atlanta,no,KFTY,FTY,KFTY,FTY
3547,KFWA,medium_airport,Fort Wayne International Airport,40.978896,-85.194465,814,NA,US,US-IN,Fort Wayne,yes,KFWA,FWA,KFWA,FWA
19912,KFXE,medium_airport,Fort Lauderdale Executive Airport,26.19729996,-80.17070007,13,NA,US,US-FL,Fort Lauderdale,no,KFXE,FXE,KFXE,FXE
3548,KFYV,medium_airport,Drake Field,36.00510025,-94.17009735,1251,NA,US,US-AR,Fayetteville,no,KFYV,FYV,KFYV,FYV
19929,KGCC,medium_airport,Northeast Wyoming Regional Airport,44.3489,-105.539001,4365,NA,US,US-WY,Gillette,yes,KGCC,GCC,KGCC,GCC
3550,KGCK,medium_airport,Garden City Regional Airport,37.92750168,-100.723999,2891,NA,US,US-KS,Garden City,yes,KGCK,GCK,KGCK,GCK
3551,KGCN,medium_airport,Grand Canyon National Park Airport,35.9524,-112.147003,6609,NA,US,US-AZ,Grand Canyon - Tusayan,yes,KGCN,GCN,KGCN,GCN
19936,KGDV,medium_airport,Dawson Community Airport,47.137658,-104.80691,2458,NA,US,US-MT,Glendive,yes,KGDV,GDV,KGDV,GDV
3552,KGEG,large_airport,Spokane International Airport,47.6199,-117.533997,2376,NA,US,US-WA,Spokane,yes,KGEG,GEG,KGEG,GEG
3553,KGFK,medium_airport,Grand Forks International Airport,47.949299,-97.176102,845,NA,US,US-ND,Grand Forks,yes,KGFK,GFK,KGFK,GFK
3554,KGFL,medium_airport,Floyd Bennett Memorial Airport,43.34120178,-73.61029816,328,NA,US,US-NY,Glens Falls,no,KGFL,GFL,KGFL,GFL
3555,KGGG,medium_airport,East Texas Regional Airport,32.38399887,-94.71150208,365,NA,US,US-TX,Longview,yes,KGGG,GGG,KGGG,GGG
3556,KGGW,medium_airport,Glasgow Valley County Airport Wokal Field,48.212502,-106.614998,2296,NA,US,US-MT,Glasgow,yes,KGGW,GGW,KGGW,GGW
3557,KGJT,medium_airport,Grand Junction Regional Airport,39.126663,-108.529387,4858,NA,US,US-CO,Grand Junction,yes,KGJT,GJT,KGJT,GJT
